encoder,primary_label,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
random,Atelectasis,0.3361698368676512,0.15833333333333335,0.15833333333333335,0.09861111111111111,0.4083333333333334,0.1638888888888889,0.09253209456309351,0.55,0.15666666666666668,0.08965886426524072,0.75,0.15416666666666667,0.08900577601585247
random,Calcinosis/Atherosclerosis,0.32287914176478316,0.16551724137931034,0.16551724137931034,0.1367816091954023,0.3310344827586207,0.13793103448275862,0.11311910871493092,0.4827586206896552,0.12827586206896552,0.10641406713604576,0.7655172413793103,0.1393103448275862,0.10713422458207637
random,Cardiomegaly,0.30457908482953094,0.13333333333333336,0.13333333333333336,0.08174603174603175,0.38095238095238093,0.15873015873015875,0.09907356971712736,0.49523809523809526,0.14476190476190476,0.09169770358512722,0.6761904761904761,0.13999999999999999,0.09098454861759399
random,Degenerative/Bone,0.33089577053932695,0.15,0.15,0.096875,0.36875,0.15625,0.10530711982747311,0.5625,0.16375,0.10959397246238994,0.775,0.148125,0.10226970785623656
random,Edema/Congestion,0.3484716892361974,0.13333333333333333,0.13333333333333333,0.049999999999999996,0.43333333333333335,0.15555555555555556,0.05415892443939319,0.65,0.18333333333333335,0.0641120137419715,0.8166666666666668,0.18833333333333332,0.07126110744285301
random,Emphysema/COPD,0.30761439570936194,0.1777777777777778,0.1777777777777778,0.08666666666666668,0.30370370370370375,0.12098765432098765,0.06800964447191238,0.42962962962962964,0.1274074074074074,0.06930177524205507,0.6518518518518519,0.1274074074074074,0.07016452565291811
random,Fibrosis/Interstitial,0.198463022288933,0.1,0.1,0.03333333333333333,0.19999999999999998,0.08333333333333333,0.034776640125474094,0.3,0.11,0.04460502145267635,0.35,0.095,0.042104579466087005
random,Granuloma,0.29846503540946717,0.1142857142857143,0.1142857142857143,0.08571428571428572,0.3642857142857143,0.14523809523809522,0.11435857241089299,0.4785714285714286,0.14285714285714285,0.11378884425749271,0.7428571428571429,0.14142857142857143,0.11365310379993328
random,Hernia/Diaphragm,0.18953293218567124,0.05454545454545456,0.05454545454545456,0.0196969696969697,0.2,0.09090909090909091,0.035427847122287304,0.29090909090909095,0.09454545454545454,0.03872417339789411,0.509090909090909,0.10909090909090909,0.049918555610289614
random,Lung Opacity,0.34249865463742246,0.17500000000000002,0.17500000000000002,0.17500000000000002,0.375,0.14166666666666666,0.14692787260227563,0.5916666666666667,0.14333333333333334,0.14668631624917786,0.7916666666666666,0.14416666666666667,0.14581191111515432
random,Nodule/Mass,0.2820795469357942,0.13333333333333333,0.13333333333333333,0.07333333333333333,0.29333333333333333,0.11555555555555556,0.06262964072258664,0.4533333333333333,0.128,0.06390349007366544,0.6133333333333333,0.13866666666666666,0.06799197576551179
random,Normal,0.5915388527671046,0.3859154929577465,0.3859154929577465,0.3859154929577465,0.7483568075117372,0.37245696400625977,0.3747110149782874,0.8901408450704225,0.37502347417840376,0.3758441550328894,0.9859154929577465,0.3704225352112676,0.3724263983736544
random,Other Abnormality,0.2978986502613543,0.1075,0.1075,0.10500000000000001,0.35,0.13333333333333333,0.12379174060802463,0.5475,0.1405,0.12886436380018101,0.7675,0.137,0.1285255517081385
random,Pleural Effusion,0.35110631062266423,0.17777777777777778,0.17777777777777778,0.09777777777777778,0.39999999999999997,0.16296296296296295,0.09012557396150286,0.5111111111111111,0.14666666666666667,0.07754713994454931,0.7555555555555555,0.14888888888888888,0.07912926430180697
random,Pneumonia,0.358368573969243,0.25,0.25,0.07500000000000001,0.4,0.18333333333333332,0.08261640844635912,0.5,0.16,0.08017649693773801,0.5,0.13499999999999998,0.0696558636786931
random,Pneumothorax,0.34794905577514273,0.20000000000000004,0.20000000000000004,0.07777777777777778,0.4000000000000001,0.15555555555555556,0.06337686765593482,0.6,0.14666666666666664,0.06907777335297235,0.7333333333333334,0.12666666666666668,0.06989597655917468
random,Scarring,0.36888718106232915,0.2153846153846154,0.2153846153846154,0.11076923076923076,0.4,0.15897435897435896,0.0839389073410843,0.5538461538461539,0.16,0.0826451588823778,0.7846153846153846,0.1630769230769231,0.08299367320702708
random,Support Devices,0.24884166310615277,0.0962962962962963,0.0962962962962963,0.08024691358024692,0.25925925925925924,0.10123456790123457,0.07979178359539886,0.3925925925925926,0.10222222222222223,0.07893090575737062,0.6222222222222222,0.10814814814814815,0.08415454150590136
